"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","ADPT","ADPT_ATTRIBUTES","ASLP","ASLP_ATTRIBUTES","ASTP","ASTP_ATTRIBUTES","AWBT","AWBT_ATTRIBUTES","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","RHAV","RHAV_ATTRIBUTES","RHMN","RHMN_ATTRIBUTES","RHMX","RHMX_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00013881","1940-05","35.22254","-80.95433","222.6","CHARLOTTE DOUGLAS AIRPORT, NC US","","","","","","","","","","","77.8","0","66.1",",0","14",",0","8",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","26",",0","2",",0","","","","","19400505","+,,0","19400531","+,,0","19400531","+,,0","","","19400529",",,0","19400508",",,0","2.2",",0,05,+","0",",,0,31,+","0",",,0,31,+","31.2",",,0,29,","36.1",",0,08,","2163.7","0","43.1",",0","98.8",",,,0","","","","","","","","","0",",,,0","19.07",",0","26.25",",,,0","11.89",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013881","1940-06","35.22254","-80.95433","222.6","CHARLOTTE DOUGLAS AIRPORT, NC US","","","","","","","","","","","276.7","0","198.9",",0","7",",0","6",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","14",",0","","","","","19400601",",,0","19400630","+,,0","19400630","+,,0","","","19400616",",,0","19400607","+,,0","13.3",",0,01,","0",",,0,30,+","0",",,0,30,+","35.8",",,0,16,","35.6",",0,07,+","2163.7","0","0.0",",0","108.5",",,,0","","","","","","","","","0",",,,0","24.96",",0","31.32",",,,0","18.60",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013881","1940-07","35.22254","-80.95433","222.6","CHARLOTTE DOUGLAS AIRPORT, NC US","","","","","","","","","","","494.8","0","218.1",",0","9",",0","5",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","14",",0","","","","","19400714",",,0","19400731","+,,0","19400731","+,,0","","","19400704",",,0","19400727",",,0","15.0",",0,14,","0",",,0,31,+","0",",,0,31,+","32.8",",,0,04,","38.3",",0,27,","0.0","0","0.0",",0","110.5",",,,0","","","","","","","","","0",",,,0","25.37",",0","31.06",",,,0","19.68",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013881","1940-08","35.22254","-80.95433","222.6","CHARLOTTE DOUGLAS AIRPORT, NC US","","","","","","","","","","","701.3","0","206.5",",0","13",",0","8",",0","1",",0","0",",Z","0",",Z","0",",0","0",",0","0",",0","31",",0","8",",0","","","","","19400822",",,0","19400831","+,,Z","19400831","+,,Z","","","19400813",",,0","19400827",",,0","15.0",",0,22,","0",",,Z,31,+","0",",,Z,31,+","43.9",",,0,13,","34.4",",0,27,","0.0","0","0.0",",0","131.3",",,,0","","","","","","","","","0",",,,Z","25.00",",0","30.07",",,,0","19.92",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013881","1940-09","35.22254","-80.95433","222.6","CHARLOTTE DOUGLAS AIRPORT, NC US","","","","","","","","","","","819.1","0","117.8",",0","6",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","28",",0","4",",0","","","","","19400927",",,0","19400930","+,,0","19400930","+,,0","","","19400925",",,0","19400922","+,,0","5.0",",0,27,","0",",,0,30,+","0",",,0,30,+","8.9",",,0,25,","35.0",",0,22,+","22.5","0","22.5",",0","25.0",",,,0","","","","","","","","","0",",,,0","21.51",",0","28.38",",,,0","14.63",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013881","1940-10","35.22254","-80.95433","222.6","CHARLOTTE DOUGLAS AIRPORT, NC US","","","","","","","","","","","836.4","0","17.3","2,0","6",",Z","5",",Z","0",",Z","0",",Z","0",",Z","0","1,0","0","1,0","0","1,0","22","1,0","0","1,0","","","","","19401021",",1,0","19401031","+,,Z","19401031","+,,Z","","","19401030",",,Z","19401014",",1,0","1.1","1,0,21,","0",",,Z,31,+","0",",,Z,31,+","16.0",",,Z,30,","30.6","1,0,14,","96.9","0","74.4","1,0","40.1",",,,Z","","","","","","","","","0",",,,Z","16.38","2,0","23.99","1,,,0","8.76","1,,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013881","1940-11","35.22254","-80.95433","222.6","CHARLOTTE DOUGLAS AIRPORT, NC US","","","","","","","","","","","836.4","0","0.0",",0","9",",0","6",",0","3",",0","0",",0","0",",0","0",",0","12",",0","0",",0","7",",0","0",",0","","","","","19401116",",,0","19401130","+,,0","19401130","+,,0","","","19401113",",,0","19401104","+,,0","-4.4",",0,16,","0",",,0,30,+","0",",,0,30,+","42.2",",,0,13,","25.0",",0,04,+","343.3","0","246.4",",0","153.2",",,,0","","","","","","","","","0",",,,0","10.12",",0","16.44",",,,0","3.80",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013881","1940-12","35.22254","-80.95433","222.6","CHARLOTTE DOUGLAS AIRPORT, NC US","","","","","","","","","","","836.4","0","0.0",",0","10",",0","7",",0","0",",0","0",",Z","0",",Z","0",",0","14",",0","0",",0","1",",0","0",",0","","","","","19401204",",,0","19401231","+,,Z","19401231","+,,Z","","","19401225",",,0","19401213",",,0","-7.8",",0,04,","0",",,Z,31,+","0",",,Z,31,+","25.1",",,0,25,","21.1",",0,13,","674.9","0","331.6",",0","82.3",",,,0","","","","","","","","","0",",,,Z","7.64",",0","13.21",",,,0","2.06",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013881","1941-01","35.22254","-80.95433","222.6","CHARLOTTE DOUGLAS AIRPORT, NC US","","","","","","","","","","","0.0","0","0.0",",0","9",",0","4",",0","0",",0","0",",Z","0",",Z","0",",0","19",",0","0",",0","0",",0","0",",0","","","","","19410106",",,0","19410131","+,,Z","19410131","+,,Z","","","19410102",",,0","19410123",",,0","-7.8",",0,06,","0",",,Z,31,+","0",",,Z,31,+","9.1",",,0,02,","18.9",",0,23,","1082.0","0","407.1",",0","33.8",",,,0","","","","","","","","","0",",,,Z","5.20",",0","11.05",",,,0","-0.65",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013881","1941-02","35.22254","-80.95433","222.6","CHARLOTTE DOUGLAS AIRPORT, NC US","","","","","","","","","","","0.0","0","0.0",",0","4",",0","3",",0","1",",0","0",",0","1",",0","0",",0","24",",0","0",",0","0",",0","0",",0","","","","","19410208",",,0","19410227",",,0","19410227",",,0","","","19410214",",,0","19410212",",,0","-8.3",",0,08,","0",",T,0,27,","51",",,0,27,","25.4",",,0,14,","16.1",",0,12,","1495.1","0","413.1",",0","40.6",",,,0","","","","","","","","","71",",,,0","3.58",",0","10.19",",,,0","-3.03",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013881","1941-03","35.22254","-80.95433","222.6","CHARLOTTE DOUGLAS AIRPORT, NC US","","","","","","","","","","","0.0","0","0.0",",0","12",",Z","6",",Z","1",",Z","0",",Z","0",",Z","0",",0","17",",0","0",",0","1",",0","0",",0","","","","","19410302",",,0","19410313",",,Z","19410314",",,Z","","","19410324",",,Z","19410321",",,0","-6.7",",0,02,","0",",T,Z,13,","23",",,Z,14,","25.7",",,Z,24,","21.7",",0,21,","1848.4","0","353.3",",0","92.6",",,,Z","","","","","","","","","31",",,,Z","6.94",",0","13.60",",,,0","0.27",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013881","1941-04","35.22254","-80.95433","222.6","CHARLOTTE DOUGLAS AIRPORT, NC US","","","","","","","","","","","30.8","0","30.8",",0","8",",Z","3",",Z","1",",Z","0",",Z","0",",Z","0",",0","0",",0","0",",0","19",",0","0",",0","","","","","19410402",",,0","19410430","+,,Z","19410430","+,,Z","","","19410424",",,Z","19410419","+,,0","6.1",",0,02,","0",",,Z,30,+","0",",,Z,30,+","31.2",",,Z,24,","31.7",",0,19,+","1923.2","0","74.8",",0","66.0",",,,Z","","","","","","","","","0",",,,Z","16.87",",0","23.54",",,,0","10.20",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013881","1941-05","35.22254","-80.95433","222.6","CHARLOTTE DOUGLAS AIRPORT, NC US","","","","","","","","","","","155.8","0","125.0",",0","3",",0","0",",0","0",",0","0",",Z","0",",Z","0",",0","0",",0","0",",0","29",",0","9",",0","","","","","19410511",",,0","19410531","+,,Z","19410531","+,,Z","","","19410517",",,0","19410529",",,0","5.0",",0,11,","0",",,Z,31,+","0",",,Z,31,+","1.3",",,0,17,","37.8",",0,29,","1947.1","0","23.9",",0","2.9",",,,0","","","","","","","","","0",",,,Z","21.59",",0","29.19",",,,0","13.99",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013881","1941-06","35.22254","-80.95433","222.6","CHARLOTTE DOUGLAS AIRPORT, NC US","","","","","","","","","","","343.4","0","187.6",",0","10",",0","6",",0","2",",0","0",",Z","0",",Z","0",",0","0",",0","0",",0","30",",0","11",",0","","","","","19410606",",,0","19410630","+,,Z","19410630","+,,Z","","","19410627",",,0","19410602",",,0","13.9",",0,06,","0",",,Z,30,+","0",",,Z,30,+","43.4",",,0,27,","36.1",",0,02,","1947.1","0","0.0",",0","112.7",",,,0","","","","","","","","","0",",,,Z","24.59",",0","30.22",",,,0","18.95",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013881","1941-07","35.22254","-80.95433","222.6","CHARLOTTE DOUGLAS AIRPORT, NC US","","","","","","","","","","","583.2","0","239.8",",0","13",",0","9",",0","5",",0","0",",Z","0",",Z","0",",0","0",",0","0",",0","31",",0","12",",0","","","","","19410709",",,0","19410731","+,,Z","19410731","+,,Z","","","19410716",",,0","19410730",",,0","18.3",",0,09,","0",",,Z,31,+","0",",,Z,31,+","42.9",",,0,16,","36.1",",0,30,","0.0","0","0.0",",0","231.7",",,,0","","","","","","","","","0",",,,Z","26.07",",0","31.12",",,,0","21.02",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013881","1941-08","35.22254","-80.95433","222.6","CHARLOTTE DOUGLAS AIRPORT, NC US","","","","","","","","","","","820.5","0","237.3",",0","7",",0","7",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","17",",0","","","","","19410814",",,0","19410831","+,,0","19410831","+,,0","","","19410824",",,0","19410812",",,0","14.4",",0,14,","0",",,0,31,+","0",",,0,31,+","31.2",",,0,24,","36.1",",0,12,","0.0","0","0.0",",0","79.0",",,,0","","","","","","","","","0",",,,0","25.99",",0","31.72",",,,0","20.26",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013881","1941-09","35.22254","-80.95433","222.6","CHARLOTTE DOUGLAS AIRPORT, NC US","","","","","","","","","","","986.3","0","165.8",",0","4",",0","4",",0","0",",0","0",",Z","0",",Z","0",",0","0",",0","0",",0","30",",0","12",",0","","","","","19410923","+,,0","19410930","+,,Z","19410930","+,,Z","","","19410925",",,0","19410908",",,0","10.6",",0,23,+","0",",,Z,30,+","0",",,Z,30,+","16.8",",,0,25,","36.1",",0,08,","0.0","0","0.0",",0","44.0",",,,0","","","","","","","","","0",",,,Z","23.86",",0","30.72",",,,0","17.00",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013881","1941-10","35.22254","-80.95433","222.6","CHARLOTTE DOUGLAS AIRPORT, NC US","","","","","","","","","","","1070.6","0","84.3",",0","2",",0","1",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","3",",0","","","","","19411030",",,0","19411031","+,,0","19411031","+,,0","","","19411027",",,0","19411008","+,,0","5.0",",0,30,","0",",,0,31,+","0",",,0,31,+","41.1",",,0,27,","34.4",",0,08,+","36.8","0","36.8",",0","41.6",",,,0","","","","","","","","","0",",,,0","19.86",",0","27.06",",,,0","12.67",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013881","1941-11","35.22254","-80.95433","222.6","CHARLOTTE DOUGLAS AIRPORT, NC US","","","","","","","","","","","1070.6","0","0.0",",0","6",",0","3",",0","0",",0","0",",Z","0",",Z","0",",0","9",",0","0",",0","11",",0","0",",0","","","","","19411126","+,,0","19411130","+,,Z","19411130","+,,Z","","","19411123",",,0","19411116",",,0","-3.3",",0,26,+","0",",,Z,30,+","0",",,Z,30,+","8.4",",,0,23,","26.7",",0,16,","267.0","0","230.2",",0","20.2",",,,0","","","","","","","","","0",",,,Z","10.66",",0","18.17",",,,0","3.14",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013881","1941-12","35.22254","-80.95433","222.6","CHARLOTTE DOUGLAS AIRPORT, NC US","","","","","","","","","","","1070.6","0","0.0",",0","6",",0","6",",0","2",",0","0",",Z","0",",Z","0",",0","14",",0","0",",0","3",",0","0",",0","","","","","19411215",",,0","19411231","+,,Z","19411231","+,,Z","","","19411223",",,0","19411201",",,0","-6.1",",0,15,","0",",,Z,31,+","0",",,Z,31,+","56.4",",,0,23,","23.3",",0,01,","600.8","0","333.8",",0","137.2",",,,0","","","","","","","","","0",",,,Z","7.57",",0","13.56",",,,0","1.57",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013881","1944-01","35.22254","-80.95433","222.6","CHARLOTTE DOUGLAS AIRPORT, NC US","","","","","","","","","","","0.9","0","0.9","1,0","5","1,Z","5","1,Z","1","1,Z","2","1,Z","1","1,Z","0","1,0","20","1,0","0","1,0","1","1,0","0","1,0","","","","","19440109",",1,0","19440109",",1,Z","19440109",",1,Z","","","19440103",",1,Z","19440128",",1,0","-7.8","1,0,09,","51","1,,Z,09,","56","1,,Z,09,","32.8","1,,Z,03,","25.6","1,0,28,","","","385.1","1,0","67.9","1,,,Z","","","","","","","","","56","1,,,Z","5.53","1,0","11.39","1,,,0","-0.34","1,,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013881","1944-02","35.22254","-80.95433","222.6","CHARLOTTE DOUGLAS AIRPORT, NC US","","","","","","","","","","","0.9","0","0.0",",0","14",",0","10",",0","2",",0","0",",Z","0",",Z","0",",0","12",",0","0",",0","4",",0","0",",0","","","","","19440213",",,0","19440215","+,,Z","19440214",",,Z","","","19440209",",,0","19440227","+,,0","-10.6",",0,13,","0",",T,Z,15,+","8",",,Z,14,","45.0",",,0,09,","23.9",",0,27,+","","","307.6",",0","174.4",",,,0","","","","","","","","","8",",,,Z","7.73",",0","13.14",",,,0","2.31",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013881","1944-03","35.22254","-80.95433","222.6","CHARLOTTE DOUGLAS AIRPORT, NC US","","","","","","","","","","","2.6","0","1.7",",0","14",",0","10",",0","2",",0","0",",Z","0",",Z","0",",0","7",",0","0",",0","7",",0","0",",0","","","","","19440310",",,0","19440331","+,,Z","19440331","+,,Z","","","19440319",",,0","19440326",",,0","-4.4",",0,10,","0",",,Z,31,+","0",",,Z,31,+","74.2",",,0,19,","27.2",",0,26,","","","265.1",",0","220.4",",,,0","","","","","","","","","0",",,,Z","9.83",",0","16.00",",,,0","3.67",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013881","1944-04","35.22254","-80.95433","222.6","CHARLOTTE DOUGLAS AIRPORT, NC US","","","","","","","","","","","18.5","0","15.9",",0","16",",0","9",",0","1",",0","0",",Z","0",",Z","0",",0","3",",0","0",",0","20",",0","0",",0","","","","","19440405",",,0","19440430","+,,Z","19440404",",,Z","5","","19440411",",,0","19440421",",,0","-2.8",",0,05,","0",",,Z,30,+","0",",T,Z,04,","46.5",",,0,11,","28.9",",0,21,","","","116.1",",0","136.8",",,,0","","","","","","","","","0",",T,,Z","14.99",",0","21.72",",,,0","8.26",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013881","1944-05","35.22254","-80.95433","222.6","CHARLOTTE DOUGLAS AIRPORT, NC US","","","","","","","","","","","149.0","0","130.5",",0","5",",0","5",",0","0",",0","0",",Z","0",",Z","0",",0","0",",0","0",",0","30",",0","10",",0","","","","","19440507",",,0","19440531","+,,Z","19440531","+,,Z","11","","19440506",",,0","19440519",",,0","6.1",",0,07,","0",",,Z,31,+","0",",,Z,31,+","13.0",",,0,06,","33.9",",0,19,","","","12.5",",0","43.5",",,,0","","","","","","","","","0",",,,Z","22.14",",0","29.35",",,,0","14.92",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013881","1944-06","35.22254","-80.95433","222.6","CHARLOTTE DOUGLAS AIRPORT, NC US","","","","","","","","","","","389.9","0","240.9",",0","8",",0","5",",0","0",",0","0",",Z","0",",Z","0",",0","0",",0","0",",0","30",",0","22",",0","","","","","19440621",",,0","19440630","+,,Z","19440630","+,,Z","11","","19440612",",,0","19440619",",,0","12.8",",0,21,","0",",,Z,30,+","0",",,Z,30,+","10.7",",,0,12,","38.9",",0,19,","","","0.0",",0","39.4",",,,0","","","","","","","","","0",",,,Z","26.36",",0","33.39",",,,0","19.34",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013881","1944-07","35.22254","-80.95433","222.6","CHARLOTTE DOUGLAS AIRPORT, NC US","","","","","","","","","","","593.8","0","203.9",",0","12",",0","6",",0","0",",0","0",",Z","0",",Z","0",",0","0",",0","0",",0","31",",0","11",",0","","","","","19440704",",,0","19440731","+,,Z","19440731","+,,Z","16","","19440702",",,0","19440727",",,0","15.0",",0,04,","0",",,Z,31,+","0",",,Z,31,+","23.4",",,0,02,","36.1",",0,27,","0.0","","0.0",",0","105.8",",,,0","","","","","","","","","0",",,,Z","24.91",",0","30.70",",,,0","19.13",",,,0","","","","","","","","","","","","","","","","","","","","","",""
