Year,Month,T (CanESM2),T (CSIRO-Mk3-6-0),T (GFDL-CM3),T (MIROC-ESM),T (MPI-ESM-LR)
2072,10,20.5,20.73,21.45,22.55,19.02
2072,11,13.62,14.42,15.39,15.43,14.75
2072,12,11.11,14.01,12.95,12.66,11.44
2073,1,11.43,12.87,9.11,16.38,13.14
2073,2,12.37,14.25,16.33,16.41,9.99
2073,3,18.53,14,17.33,26.8,11.08
2073,4,20.84,18.86,24.11,26.51,19.45
2073,5,28.34,25.6,25.6,23.6,24.53
2073,6,31.52,27.32,31.02,29.99,28.41
2073,7,30.99,33.89,35.21,31.12,35.34
2073,8,29,36.04,32.98,33.15,34.08
2073,9,29.29,26.05,31.58,28.92,27.55
2073,10,19.36,21.75,19.9,21.56,22.04
2073,11,14.07,14.38,14.37,15.53,13.3
2073,12,11.68,11.89,12.48,15.08,14.34
2074,1,5.2,11.9,12.96,11.12,7.46
2074,2,20.97,9.52,17.43,17.69,7.58
2074,3,21.35,15.73,21.3,26.7,12.23
2074,4,24.66,19.24,23.48,26.62,16.45
2074,5,24.99,22.54,26.26,21.49,22.72
2074,6,29.95,34.12,31.72,29.6,25.87
2074,7,30.59,31.98,33.4,32.88,30.13
2074,8,30.52,27.28,33.5,32.59,27.88
2074,9,27.81,23.21,28.26,29.57,25.52
2074,10,18.95,21.81,23.56,21.04,19.02
2074,11,11.2,12.8,13.94,16,12.04
2074,12,9.41,13.75,10.92,15.28,8.18
2075,1,11.5,10.82,11.1,15.13,7.34
2075,2,14.62,12.97,16.51,17.64,7.76
2075,3,16.12,14.42,21.27,23.18,10.91
2075,4,22.26,17.92,22.1,27,17.99
2075,5,24.46,25.57,24.19,27.33,24.5
2075,6,31.79,32.2,30.81,31.35,28.13
2075,7,31.98,35.91,33.37,34.26,30.51
2075,8,30.72,34.03,31.31,32.1,31.2
2075,9,26.5,27.66,36.22,28.74,30.26
2075,10,24.08,20.35,22.87,20.41,20.88
2075,11,13.45,14.9,12.25,15.8,10.85
2075,12,11.72,13.49,12.27,13.7,11.18
2076,1,9.84,13.13,12.09,11.58,12.8
2076,2,15.98,9.66,14.01,15.96,7.42
2076,3,14.81,16.75,19.7,20.99,14.77
2076,4,21.27,17.69,22.78,28,20.06
2076,5,27.46,22.86,23.44,27.18,24.7
2076,6,31.37,28.98,30.95,31.87,27.05
2076,7,31.28,29.96,31.8,31.59,33.02
2076,8,33.11,28.48,33.71,33.03,29.88
2076,9,26.12,25.5,32.5,29.49,25.18
2076,10,22.6,23.11,21.13,20.44,16.92
2076,11,15.11,13.62,14.98,16.31,15.32
2076,12,11.29,14.39,14.97,12.12,10.08
2077,1,11.15,11.91,14.86,12.42,8.16
2077,2,16.66,14.39,14.53,17.8,11.01
2077,3,18.74,14.75,17.46,27.39,16.29
2077,4,21.75,19.74,21.4,28.84,16.56
2077,5,25.63,23.16,26.99,24.54,23.85
2077,6,29.24,31.83,29.65,31.12,28.04
2077,7,31.59,29.76,29.88,34.03,31.14
2077,8,31.39,30.07,31.56,32,30.4
2077,9,28.14,28.52,28.5,29.83,26.6
2077,10,21.99,20.52,22.13,22.41,20.31
2077,11,11.21,15.31,12.66,16.03,11.22
2077,12,13.29,13.74,15.21,12.46,12.27
2078,1,15.23,10.63,12.11,16.47,12.46
2078,2,17.48,12.6,11.56,19.94,8.95
2078,3,17.1,14.95,17.83,27.91,11.41
2078,4,19.02,18.87,24.64,26.1,18.41
2078,5,25.16,24.18,27.8,25.6,26.47
2078,6,32.91,30.16,31.36,30.01,29.87
2078,7,33.04,30.83,34.47,33.77,30.86
2078,8,30.57,33.71,34.62,31.85,28.8
2078,9,26.76,29.14,32.33,28.9,23.95
2078,10,23.79,20.25,24.29,22.83,18.41
2078,11,11.98,16.23,15.54,17.05,14.01
2078,12,14.03,16.12,10.72,13.99,12.31
2079,1,10.6,12.82,10.64,14.37,8.05
2079,2,15.84,12.36,13.51,22.03,11.45
2079,3,15.47,13.04,20.47,26.34,12.94
2079,4,20.09,19.74,20.41,25.04,20.33
2079,5,23.79,22.79,25.33,23.68,23.08
2079,6,27.28,27.73,30.3,31.21,25.48
2079,7,32.17,31.29,34.66,30.95,29.64
2079,8,32.09,29.96,31.7,31.89,31.58
2079,9,30.17,26,31.26,29.78,25.73
2079,10,19.26,21.55,21.6,21.71,20.44
2079,11,8.86,13.07,14.77,15.95,15.63
2079,12,9.83,14.41,14.23,14.09,14.05
2080,1,10.76,10.78,9.45,14.87,13.36
2080,2,15.22,8.74,10.61,20.68,10.98
2080,3,13.58,14.94,17.02,23.17,14.24
2080,4,17.62,18.03,24.94,27.13,19.18
2080,5,29.45,21.81,27.94,24.9,25.63
2080,6,30.51,30.94,32.54,29.87,29.36
2080,7,32.52,31.41,35.26,31.62,34.51
2080,8,30.39,34.91,36.44,32.25,30.68
2080,9,30.84,26.81,30.27,27.41,27.57
2080,10,18.52,18.81,19.24,21.66,19.51
2080,11,14.57,14.22,18.96,16.79,12.35
2080,12,12.14,15.27,13.85,13.96,9.87
2081,1,11.95,13.44,12.51,15.91,10.4
2081,2,16.08,12.17,15,17.09,16
2081,3,17.02,13.63,21.98,21.49,14.25
2081,4,19.23,19.16,21.1,26.36,22.31
2081,5,26.65,27.39,26.21,23.91,23.34
2081,6,28.11,26.26,31.01,29.73,28.23
2081,7,35.86,31.52,33.14,33.57,30.56
2081,8,31.58,30.34,33.07,32.01,29.49
2081,9,26.9,29.19,30.26,29.95,28.48
2081,10,21.77,19.82,21.61,21.81,20.09
2081,11,13.67,14.72,14.08,17.17,15.13
2081,12,9.6,14.4,13.03,16.7,10.29
2082,1,9.22,16.77,14.09,15.64,13.57
2082,2,15.93,13.26,11.72,21.81,13.06
2082,3,21.54,16.28,18.79,24.84,9.77
2082,4,19.28,17.3,23.75,27.85,23.17
2082,5,26.54,22.63,25.3,25.49,23.29
2082,6,31.18,30.73,32,31.48,27.64
2082,7,33.12,33.26,37.7,34.22,35.91
2082,8,30.26,29.93,35.55,33.51,33.75
2082,9,27.65,30.17,30.75,27.7,26.84
2082,10,20.25,19.28,21.77,23.56,19.82
2082,11,9.87,14.06,14.98,16.48,15.41
2082,12,10.3,13.93,12.44,16.57,13.15
2083,1,6.59,13.56,13.52,16.16,10.94
2083,2,13.7,13.88,16.46,17.82,8
2083,3,19.33,15.15,17.3,23.4,12.04
2083,4,23.43,19.55,23.26,30.04,21.49
2083,5,29.35,23.82,30.1,27.41,21.18
2083,6,30.77,24.85,32.12,30.7,27.81
2083,7,31.45,30.59,35.76,32.24,33.49
2083,8,31.84,31.08,35.35,32.21,33.64
2083,9,27.98,24.97,31.49,30.46,28.58
2083,10,23.64,20.14,21.4,23.61,20.54
2083,11,11.94,14.43,15.51,16.5,15.84
2083,12,14.44,14.41,10.71,13.46,10.89
2084,1,7.71,14.33,8.12,14.31,10.43
2084,2,16.07,14.22,10.04,17.92,10.85
2084,3,15.99,16.75,20.43,20.95,15.76
2084,4,21.28,20.21,27.97,26.27,19.16
2084,5,26.92,25.98,26.97,24.34,26.12
2084,6,28.56,29.32,32.52,29.93,28.34
2084,7,33.62,34.6,33.47,31,32.98
2084,8,31.42,31.59,36.17,33.57,30.84
2084,9,27.5,27.86,30.75,28.13,26.07
2084,10,22.24,20.42,22.41,23.47,19.2
2084,11,10.76,15.65,17.25,16.32,12.09
2084,12,8.84,12.58,15.4,13.33,12.52
2085,1,10.59,15.55,13.88,14.68,9.46
2085,2,16.17,12.89,12.46,22.11,10.3
2085,3,16.46,17.81,19.84,21.35,16
2085,4,21.54,20.54,27.15,26.59,17.47
2085,5,29.09,25.6,25.87,24.65,22.85
2085,6,34.46,31.16,33.46,31.48,28.06
2085,7,33,30.29,35.14,31.41,32.74
2085,8,33.19,32.29,36.91,30.93,32.54
2085,9,29.66,25.01,30.46,29.3,28.23
2085,10,23.58,20.7,25.47,21.42,20.84
2085,11,15.4,15.3,14.6,18.53,15.53
2085,12,7.68,14.83,16.69,14.21,13.98
2086,1,12.05,13.24,9.94,15.34,10.31
2086,2,12.73,14.38,11.56,20.9,6.99
2086,3,16.3,12.88,14.58,26.83,11.23
2086,4,21.19,19.24,23.29,25.31,19.05
2086,5,27.26,24.97,26.28,23.11,22.49
2086,6,31.19,28.59,32.76,33.39,29.19
2086,7,32.01,29.85,35.68,32.62,32.95
2086,8,33.78,26.67,34.95,33.63,29.72
2086,9,30.96,23.4,34.18,29.95,23.44
2086,10,23.51,20.04,24.48,22,21.94
2086,11,12.21,16.18,14.6,18.12,12.04
2086,12,12.25,16.41,14.23,13.84,13.14
2087,1,9.93,17.24,9.85,12.5,9.34
2087,2,9.91,18.07,14.87,23.57,8.57
2087,3,18.76,13.35,20.2,24.83,14.04
2087,4,28.79,19.17,23.17,28.41,21.53
2087,5,28.1,24.35,26.41,27.16,23.86
2087,6,33.27,31.1,30.91,31.71,31.41
2087,7,34.16,36.1,32.88,34.59,32.35
2087,8,30.04,33.2,32.17,34.33,32.04
2087,9,31.22,24.53,29.23,31.3,30.35
2087,10,22.62,23.04,23.51,22,20.05
2087,11,14.36,17.62,16.85,18,12.42
2087,12,11.77,17.51,14.08,14.03,13.68
2088,1,13.72,13.84,10.67,13.47,10.13
2088,2,20.45,14.68,13.28,19.92,11.2
2088,3,18.54,12.99,20.76,27.15,11.21
2088,4,19.09,15.92,22.46,29.64,18.64
2088,5,22.82,21.34,27.51,25.9,23.56
2088,6,28.46,27.79,33.08,31.63,28.89
2088,7,35.26,34.95,32.15,31.64,32.3
2088,8,33.13,33.35,34.36,33.81,32.27
2088,9,29.32,29.48,32.1,30.5,27.53
2088,10,23.68,24.45,21.18,22.91,20.1
2088,11,12.71,17.94,16.13,16.04,16.42
2088,12,13.11,15.95,12.37,15.82,14.2
2089,1,11.15,14.28,8.34,17.8,13.22
2089,2,14.21,13.82,17.88,19.5,15.93
2089,3,13.84,15.45,26.72,27.56,15.65
2089,4,21.63,17.76,24.77,27.35,21.95
2089,5,25.17,23.17,30.19,28.1,26.09
2089,6,33.16,29.45,31.58,35.19,30.34
2089,7,34.63,29.5,34.38,33.5,31.95
2089,8,31.67,34.99,35.18,33.13,32.51
2089,9,31.12,30.23,30.69,31.19,29.1
2089,10,20.47,21.7,23.34,23.99,22.03
2089,11,10.89,15.18,17.63,18.4,15.64
2089,12,9.51,16.89,14.21,17.2,14.47
2090,1,7.49,14.23,13.39,16.23,11.86
2090,2,9.38,14.08,19.62,21.71,9.42
2090,3,12.37,16.5,21.28,23.91,12.54
2090,4,22.46,22.8,24.38,26.34,17.77
2090,5,30.64,25.65,27.13,25.12,24.55
2090,6,33.33,31.83,31.57,33.23,25.83
2090,7,34.2,30.73,36.26,33.78,33.45
2090,8,36.45,33.25,35.66,32.63,33.08
2090,9,34.6,28.43,31.71,30,27.26
2090,10,21.08,23.06,20.39,21.8,20.21
2090,11,16.6,15.72,15.79,17.62,17.55
2090,12,12.38,15.82,14.71,14.42,13.19
2091,1,15.87,14.28,13.29,14.44,11.84
2091,2,18.59,15.16,13.59,25.14,11.54
2091,3,21.12,15.76,20.58,25.79,14.4
2091,4,22.48,19.89,25.98,28.67,19.38
2091,5,28.79,23.78,25.9,25.93,23.82
2091,6,33.11,31.52,33.76,30.61,28.73
2091,7,33.41,31.86,36.09,32.71,33.43
2091,8,30.68,33.51,34.82,32.83,32.9
2091,9,31.27,26.61,30.97,29.39,28.08
2091,10,22.64,22.61,27.59,23.86,23.69
2091,11,12.27,14.86,15.49,17.06,15.52
2091,12,11.61,12.73,14.4,15.64,15.27
2092,1,15.84,12.17,15.18,15.89,17.98
2092,2,14.47,12.73,15.71,21.55,12.68
2092,3,14.94,15.78,21.82,24.63,17.78
2092,4,22.92,18.14,24.21,28.59,17.22
2092,5,25.77,24.41,27.83,25.55,27.05
2092,6,32.16,26.33,32.57,28.49,30.56
2092,7,34.29,32.55,39.09,32.8,32.34
2092,8,30.87,33.96,35.6,32.5,33.57
2092,9,30.1,27.46,31.73,29.28,27.47
2092,10,22.57,21.09,23.56,26.4,21.26
2092,11,16.09,15.94,15.45,15.83,12.68
2092,12,12.26,13.42,13.78,16.68,10.98
2093,1,13.27,15.76,12.52,13.04,13.95
2093,2,14.8,17.58,17.28,18.82,10.65
2093,3,15.48,15.46,18.7,25.31,15.77
2093,4,21.58,21.69,25.27,25.95,19.48
2093,5,29.44,25.91,28.84,28.4,27.43
2093,6,33.87,28.99,35.17,31.49,29.94
2093,7,33.87,29.78,37.38,32.05,34
2093,8,31.65,29.74,36.38,33.39,31.66
2093,9,32.03,25.72,35.88,30.72,29.1
2093,10,23.42,22.86,25.61,23.74,22.09
2093,11,18.08,16.96,13.98,15.31,17.86
2093,12,9.77,18.06,12.81,13.01,12.99
2094,1,8.23,14.24,13.16,15.59,15.06
2094,2,10.86,15.86,12.01,20.7,14.84
2094,3,18.06,16.91,20.22,28.69,17.38
2094,4,23.01,21.65,24.5,25.09,20.96
2094,5,28.82,26.68,27.77,25.81,26.65
2094,6,32.65,31.73,32.92,32.72,28.64
2094,7,33.07,34.77,37.38,32.89,32.21
2094,8,32.12,36.85,36.99,32.64,31.63
2094,9,29.62,29.18,32.42,29.81,25.15
2094,10,21.95,21.19,25.16,23.75,20
2094,11,16.49,12.45,16.18,20.53,13.78
2094,12,16.23,16.49,15.54,15.73,11.93
2095,1,13.27,16.82,14.39,17.19,8.25
2095,2,18.85,17.55,15.8,20.13,8.16
2095,3,18.55,16.93,17.75,27.77,10.44
2095,4,24.8,20.88,22.57,28.59,21.13
2095,5,28.04,30.05,28.1,27.81,22.57
2095,6,32.64,29.93,30.15,32.03,28.61
2095,7,33.61,31.29,36.95,33.55,34.67
2095,8,34.79,34.28,37.57,32.85,32.23
2095,9,31.75,27.09,33.23,30.64,25.44
2095,10,24.37,21.54,23.87,24.14,20.99
2095,11,13.69,15.1,17.19,20.6,10.46
2095,12,16.1,11.89,15.84,15.92,11.69
2096,1,13.29,15.88,12.78,15.33,9.65
2096,2,19.79,14.17,17.36,19.39,14.42
2096,3,20.26,16.07,20.32,26.48,17.4
2096,4,22.24,18.73,24.81,29.43,19.77
2096,5,29.94,26.95,25.72,26.95,22.21
2096,6,36.44,32.74,34.03,31.57,28.65
2096,7,34.45,31.45,38.14,34.91,32
2096,8,32.82,36.03,36.55,35.06,32.13
2096,9,30.72,26.16,32.61,29.63,28.51
2096,10,22.85,20.08,23.12,23.39,20.27
2096,11,17.47,17.02,13.06,19.87,13.8
2096,12,14.18,16.11,14.84,15.48,13.1
2097,1,17.08,14.29,14.16,14.42,12.85
2097,2,17.49,17.69,13.76,19,12.12
2097,3,24.46,18.51,24.73,27.44,13.72
2097,4,24.48,23.02,24.47,26.79,22.26
2097,5,26.25,30.63,28.11,27.5,29.84
2097,6,29.53,31.38,34.34,33.39,30.36
2097,7,34.22,34.97,37.77,33.99,33.06
2097,8,35.81,37.46,38.37,32.19,34.2
2097,9,26.07,27.83,36.1,31.25,27.27
2097,10,19.48,22.99,25.29,23.53,18.81
2097,11,14.3,17.07,15.62,19.2,12.96
2097,12,13.21,16.83,12.85,16.6,11.52
2098,1,10.69,17.69,12.4,19.66,11.56
2098,2,15.56,17.18,20.16,22.85,8.3
2098,3,18.07,17.09,23.32,30.85,12.59
2098,4,20.37,22.44,27.71,29.35,17.57
2098,5,26.31,23.65,27.99,29.01,26.25
2098,6,32.76,31.3,33.75,33.76,26.76
2098,7,37.14,34.71,37.68,36.74,30.98
2098,8,34.32,31.49,36.47,34.69,35.07
2098,9,29.39,29.52,33.03,30.71,28.18
2098,10,23.3,20.01,24.3,23.8,20.77
2098,11,16.22,13.2,16.13,17.66,17.09
2098,12,11.53,13.81,14.92,13.9,16.26
2099,1,12.91,13.2,12.45,18.09,12.48
2099,2,14.57,14.42,12.93,24.12,10.37
2099,3,15.49,16.86,17.96,25.74,16.17
2099,4,23.19,20.87,24.19,27.68,18.23
2099,5,28.8,28.51,28.21,26.77,25.4
2099,6,31.53,27.7,31.91,32.49,29.72
2099,7,34.16,31.61,36.07,35.8,33.68
2099,8,36.88,34.08,34.75,35.34,33.74
2099,9,28.65,28.28,30.92,32.47,29.22
2099,10,23.89,20.95,22.07,23.96,25.45
2099,11,13.93,17.21,16.17,17.16,15.55
2099,12,13.86,15.44,15.44,15.54,14.97
2100,1,10.33,14.9,12.75,16.19,13.18
2100,2,18.38,17.02,15.71,19.3,12.18
2100,3,23.85,21.07,22.69,28.82,14.4
2100,4,21.28,19.73,21.65,26.32,17.86
2100,5,27.12,23.91,28.32,28.01,25.02
2100,6,33.92,29.71,34.05,30.42,28.36
2100,7,31.84,36.39,35.23,33.46,36.36
2100,8,33.8,36.35,38.96,31.82,34.3
2100,9,32.17,27.25,33.21,29.54,25.87
2100,10,24.68,20.24,23.54,23.29,23.81
2100,11,15.14,16.48,15.92,18.16,18.89
2100,12,11.69,15.37,14.21,15.77,12.77
